Survey_name,Station_number,Prime_number,DateTime,Latitude,Longitude,Sample_depth,Smartbuoy,TChlA_ug/L,TChl_ug/L,AP_ug/L,Degrad_products_ug/L,TP_ug/L,Fuc_ug/L,Per_ug/L,Hex_ug/L,But_ug/L,Allo_ug/L,Chlb_ug/L,Zea_ug/L
CEND15_23,67,70,6/10/2023 3:43,51.079,-6.302,7.74,No data,0.545,0.699,0.397,0.008,0.942,0.011,0.003,0.012,0.003,0.063,0.104,0.054
CEND15_23,78,54,7/10/2023 2:33,50.868,-5.664,5.5,No data,1.18,1.558,1.101,0.046,2.281,0.109,0.043,0.202,0.033,0.1,0.194,0.011
CEND15_23,86,46,7/10/2023 23:40,50.387,-5.917,7.49,No data,0.975,1.309,0.938,0.034,1.913,0.104,0.081,0.095,0.018,0.048,0.208,0.014
CEND15_23,89,50,8/10/2023 5:58,50.482,-5.084,6.62,No data,1.62,2.08,1.428,0.1,3.048,0.325,0.132,0.077,0.017,0.084,0.263,0.012
CEND15_23,98,85,9/10/2023 4:27,50.599,-7.185,6.45,No data,1.3,1.759,1.43,0.035,2.73,0.156,0.085,0.222,0.067,0.094,0.188,0.05
CEND15_23,109,43,10/10/2023 3:11,50.251,-6.883,4.78,No data,0.853,1.113,0.886,0.023,1.739,0.029,0.013,0.096,0.017,0.062,0.162,0.155
CEND15_23,122,130,12/10/2023 18:31,49.107,-6.365,4.39,No data,0.328,0.438,0.375,0.006,0.703,0.028,0.019,0.083,0.031,0.004,0.043,0.031
CEND15_23,123,40,12/10/2023 22:00,49.666,-6.617,6.3,No data,0.489,0.644,0.532,0,1.021,0.027,0.004,0.075,0.03,0.017,0.086,0.099
CEND15_23,129,94,13/10/2023 08:42,49.446,-6.085,5.15,No data,0.566,0.733,0.566,0.018,1.132,0.029,0.005,0.076,0.024,0.02,0.095,0.105
CEND15_23,134,32,13/10/2023 18:07,49.829,-5.615,4,No data,1.033,1.36,1.187,0.031,2.22,0.085,0.242,0.158,0.024,0.029,0.115,0.052
CEND15_23,138,27,14/10/2023 00:06,49.668,-4.856,7.69,No data,0.612,0.801,0.621,0.019,1.233,0.079,0.096,0.075,0.008,0.035,0.079,0.005
CEND15_23,139,28,14/10/2023 02:30,49.835,-5.097,5.65,No data,2.003,2.642,2.451,0,4.454,0.217,0.652,0.283,0.051,0.053,0.139,0.036
CEND15_23,148,36,14/10/2023 23:56,50.083,-6.116,4.41,No data,0.876,1.174,0.829,0.044,1.705,0.125,0.046,0.063,0.02,0.033,0.177,0.056
CEND15_23,159,109,15/10/2023 22:56,49.216,-5.099,3.65,No data,0.567,0.798,0.636,0.031,1.203,0.071,0.029,0.117,0.025,0.018,0.117,0.008
CEND15_23,160,95,16/10/2023 01:24,49.292,-5.587,4.26,No data,0.579,0.781,0.645,0.017,1.224,0.068,0.037,0.145,0.037,0.025,0.068,0.014
CEND15_23,163,105,16/10/2023 05:44,49.035,-5.838,5.58,No data,0.611,0.858,0.664,0.006,1.275,0.042,0.011,0.101,0.042,0.021,0.146,0.052
CEND15_23,170,106,16/10/2023 22:41,48.546,-4.923,4.29,No data,0.557,0.705,0.502,0.034,1.059,0.167,0.011,0.039,0.017,0.017,0.057,0.008
CEND15_23,189,23,18/10/2023 21:14,50.172,-4.592,6.51,No data,1.034,1.341,1.137,0,2.171,0.217,0.133,0.132,0.024,0.049,0.107,0.015
CEND15_23,190,21,18/10/2023 22:31,50.003,-4.332,3.45,No data,0.527,0.702,0.562,0.018,1.089,0.076,0.082,0.087,0.011,0.016,0.07,0.011
CEND15_23,199,22,19/10/2023 22:35,49.67,-4.326,3.69,No data,0.474,0.631,0.476,0.015,0.95,0.076,0.05,0.056,0.013,0.021,0.071,0.004
CEND15_23,210,16,20/10/2023 21:21,49.84,-3.816,4,No data,0.324,0.424,0.358,0,0.682,0.079,0.028,0.037,0.006,0.015,0.043,0.004
CEND15_23,214,17,21/10/2023 03:43,50.169,-4.073,3.26,No data,1.101,1.446,1.192,0,2.293,0.16,0.293,0.089,0.022,0.051,0.124,0.011
CEND15_23,218,112,22/10/2023 01:14,49.155,-4.119,4.91,No data,0.459,0.587,0.435,0.014,0.894,0.116,0.016,0.073,0.019,0.018,0.04,0.002
CEND15_23,228,98,23/10/2023 00:04,49.57,-3.138,4.82,No data,0.567,0.725,0.524,0.03,1.091,0.142,0.012,0.067,0.007,0.043,0.052,0.003
CEND15_23,236,97,24/10/2023 01:57,50.065,-3.13,2.82,No data,0.823,1.078,0.798,0.024,1.621,0.162,0.1,0.073,0.018,0.046,0.104,0.004
CEND15_23,248,7,25/10/2023 02:18,50.637,-2.963,2.88,No data,1.168,1.533,0.982,0.067,2.15,0.255,0.027,0.056,0.01,0.056,0.222,0.009
CEND15_23,256,117,25/10/2023 20:36,49.423,-2.887,4.2,No data,0.487,0.636,0.476,0.023,0.963,0.15,0.003,0.056,0.007,0.029,0.057,0.004
CEND15_23,257,101,26/10/2023 01:08,49.886,-2.242,4.37,No data,0.262,0.338,0.242,0.008,0.504,0.079,0.004,0.018,0.004,0.014,0.034,0.002
CEND15_23,265,3,26/10/2023 22:23,50.33,-2.245,4,No data,0.766,1.04,0.724,0.02,1.49,0.19,0.01,0.041,0.009,0.034,0.165,0.01
